년도	분기	표준코드	분류	지점_명칭	지점_주소	심도	심도구분	수위	pH	EC	DO	ORP	T	Na+	K+	Ca2+	Mg2+	염소이온	황산이온	중탄산염이온	탄산염이온	질산염이온	질산성질소	카드뮴	비소	시안	수은	페놀	납	크롬	TCE	PCE	1.1.1-TCE	벤젠	톨루엔	에틸벤젠	크실렌	총대장균군	탁도
2013	3분기	GB-YJU-E1-0004	산업단지	영주대촌	경북 영주시 봉현면 대촌리 170번지	80	3	기존공	6.4	238	3.8	192	14.7	13.9	1.2	22.2	4.1	10.8	10.7	59	불검출	29.7	6.7	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.11
2013	3분기	US-DGU-E1-0001	산업단지	울산방어	울산시 동구 방어동 1053	10	1	4.08	5.6	560	0.7	285	17.5	64.9	2.6	33.2	20.2	33.2	84.3	158	불검출	24.8	5.6	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.06
2013	3분기	US-DGU-E1-0002	산업단지	울산방어	울산시 동구 방어동 1053	30	2	5.26	5.9	630	0.2	159	16.9	64.8	3.7	43.4	23.1	35.3	95.6	196	불검출	26.7	6	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.08
2013	3분기	US-NMU-E1-0001	산업단지	울산선암	울산시 남구 선암동 180	10	1	6.01	6.4	583	1.2	71	17.5	30.9	1.9	54.5	21.8	55.2	16.5	216	불검출	7.7	1.8	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	33	0.17
2013	3분기	US-NMU-E1-0002	산업단지	울산선암	울산시 남구 선암동 180	30	2	6.42	7	506	0.1	-46	16	23.7	1.3	40.3	29.1	36.4	4.1	242	불검출	1.1	0.2	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.27
2013	3분기	US-UJU-E1-0001	산업단지	울산청량	울산시 울주군 청량면 상남리 595-7	10	1	0.33	7.1	501	0.3	-180	16.2	40.9	5.6	32.2	22.8	74	18.9	149	불검출	불검출	불검출	불검출	0.022	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.74
2013	3분기	US-UJU-E1-0002	산업단지	울산청량	울산시 울주군 청량면 상남리 595-7	30	2	자분정	7.1	523	0	-141	16	51.3	2.8	35.4	18.8	72	12.4	177	불검출	불검출	불검출	불검출	0.026	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.7
2013	3분기	US-BKU-E1-0001	산업단지	울산효문	울산시 북구 효문동 767	10	1	3.34	5.4	362	3	185	15.6	45.3	5.6	9	7	33	59.9	56	불검출	17.7	4	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	5	0.38
2013	3분기	US-BKU-E1-0002	산업단지	울산효문	울산시 북구 효문동 767	25	2	5.17	5.4	552	1.8	202	15.6	43	6.7	23.5	21	91.1	79	41	불검출	37	8.4	불검출	불검출	-	불검출	-	불검출	0.02	-	-	-	불검출	불검출	불검출	불검출	<2	0.66
2013	3분기	CB-UMS-E1-0001	산업단지	음성대풍	충북 음성군 대소면 대풍리 38-2	80	3	20.43	6.7	268	5.7	228	14.7	16.2	1.2	21.2	7.2	11.6	8.1	87	불검출	16.8	3.8	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	0.08
